# T  uPS  fI  fII  CI_1  CII_1  CI_2  CII_2
140.0 168.911954764 0.664031951046 0.335968048954 4.58282782988 4.58281055462 18.3312733386 18.3313172868 
157.083333333 170.499372467 0.67236099018 0.32763900982 4.57292203089 4.57289950075 18.29163997 18.2916968207 
174.166666667 171.838983293 0.672483420008 0.327516579992 4.56461545379 4.56458531957 18.2583976032 18.2584731234 
191.25 172.945985314 0.673553297772 0.326446702228 4.557788182 4.5577467785 18.2310649806 18.2311681621 
208.333333333 173.835576603 0.677270026194 0.322729973806 4.55232727455 4.55226855015 18.2091862706 18.2093319623 
225.416666667 174.522955231 0.829659177479 0.170340822521 5.46671712231 0.190085317562 15.9662520957 29.4997853521 
242.5 175.023319268 0.791451877689 0.208548122311 5.73676320525 0.14858273267 15.3006254854 29.6129536128 
259.583333333 175.351866788 0.769795552048 0.230204447952 5.90340058853 0.126478299425 14.8911697556 29.6734200688 
276.666666667 175.523795861 0.759349286668 0.240650713332 5.98756255242 0.116263100563 14.6847490069 29.7014158916 
293.75 175.554304559 0.757553224012 0.242446775988 6.00228990562 0.114538683316 14.6486542405 29.7061453555 
310.833333333 175.458590954 0.763245042391 0.236754957609 5.95587923327 0.120036148887 14.7624273176 29.6910713593 
327.916666667 175.251853117 0.776140407249 0.223859592751 5.85350335799 0.132830542065 15.0136714385 29.6560283098 
345.0 174.94928912 0.796674208604 0.203325791396 5.69810033711 0.154082267365 15.3957676152 29.597931872 
362.083333333 174.566097034 0.82607249486 0.17392750514 5.49084340426 0.18607616344 15.9066809984 29.5106988939 
379.166666667 174.117474932 0.68169265064 0.31830734936 4.55060192851 4.55053421092 18.2022680931 18.2024358583 
396.25 173.618620883 0.675862801009 0.324137198991 4.55365684248 4.55360360167 18.2145154794 18.214647711 
413.333333333 173.084732961 0.673968387687 0.326031612313 4.55693489665 4.55689149524 18.2276477466 18.2277558313 
430.416666667 172.531009236 0.673120067941 0.326879932059 4.5603434685 4.56030717411 18.2412967902 18.2413874295 
447.5 171.972647781 0.672716258976 0.327283741024 4.56378926688 4.56375818623 18.2550909033 18.2551687424 
464.583333333 171.424846667 0.672552109985 0.327447890015 4.56717824077 4.56715088587 18.2686546383 18.2687233379 
481.666666667 170.902803964 0.672545423322 0.327454576678 4.57041535041 4.57039098005 18.2816093859 18.2816707532 
498.75 170.421717746 0.672686814397 0.327313185603 4.57340502167 4.57338282303 18.2935726816 18.2936287181 
515.833333333 169.996786084 0.673422954983 0.326577045017 4.57605090109 4.57603027597 18.3041596215 18.3042117995 
532.916666667 169.643207048 0.672044810281 0.327955189719 4.57825621909 4.57823677363 18.3129832047 18.3130324879 
550.0 169.376178712 0.672296354603 0.327703645397 4.57992391182 4.57990525871 18.319655683 18.319703023 
