# T  uPS  fI  fII  CI_1  CII_1  CI_2  CII_2
140.0 168.911954764 0.459340045099 0.540659954901 2.12677987788 2.12675792955 24.457801244 24.4578583704 
157.083333333 170.499372467 0.457426497037 0.542573502963 2.12385124695 2.12377767535 24.423727066 24.4239173017 
174.166666667 171.838983293 0.496959728525 0.503040271475 3.43215485761 0.833781951294 21.059868501 27.7758733875 
191.25 172.945985314 0.424393400645 0.575606599355 4.4381583214 0.425336837959 18.524065686 28.864426526 
208.333333333 173.835576603 0.388920102895 0.611079897105 5.05731801404 0.267865007027 16.9801290641 29.2887256155 
225.416666667 174.522955231 0.368042399194 0.631957600806 5.46665726566 0.19007641868 15.96639557 29.4998133028 
242.5 175.023319268 0.355125262681 0.644874737319 5.73672803498 0.148578511485 15.3007092552 29.6129676959 
259.583333333 175.351866788 0.347453329011 0.652546670989 5.90337528972 0.126475680414 14.8912297732 29.6734292503 
276.666666667 175.523795861 0.343659768792 0.656340231208 5.98754114985 0.116261056316 14.6847996778 29.7014232748 
293.75 175.554304559 0.343001385247 0.656998614753 6.00226912193 0.114536726853 14.6487034285 29.7061524613 
310.833333333 175.458590954 0.345081633486 0.654918366514 5.95585643738 0.120033903394 14.7624813287 29.6910793754 
327.916666667 175.251853117 0.34972782614 0.65027217386 5.85347543023 0.132827515468 15.0137377726 29.6560387512 
345.0 174.94928912 0.356936887661 0.643063112339 5.69806238127 0.154077561798 15.3958581027 29.5979474152 
362.083333333 174.566097034 0.366862571532 0.633137428468 5.4907863242 0.186067829183 15.9068177409 29.5107251918 
379.166666667 174.117474932 0.379843040875 0.620156959125 5.23119988687 0.23249288282 16.5488164501 29.384564525 
396.25 173.618620883 0.396494756445 0.603505243555 4.91701646975 0.299079968543 17.3288811605 29.2043305456 
413.333333333 173.084732961 0.417964049067 0.582035950933 4.54319039737 0.394876276845 18.2612755526 28.9462384611 
430.416666667 172.531009236 0.446677830826 0.553322169174 4.09915458487 0.53528653424 19.3746861919 28.5699959276 
447.5 171.972647781 0.487134884424 0.512865115576 3.56811580661 0.755236717409 20.7149018122 27.9842849697 
464.583333333 171.424846667 0.490763485292 0.509236514708 2.97758628619 1.30061370895 22.2184251743 26.5446995921 
481.666666667 170.902803964 0.45738231857 0.54261768143 2.12315953999 2.12297973286 24.4149608345 24.4154249925 
498.75 170.421717746 0.457561543265 0.542438456735 2.12399150015 2.12392543685 24.4253974563 24.4255683324 
515.833333333 169.996786084 0.457703583356 0.542296416644 2.1247689554 2.12472667898 24.4345199297 24.434629472 
532.916666667 169.643207048 0.457820687509 0.542179312491 2.1254220195 2.12538949793 24.4421046958 24.4421890857 
550.0 169.376178712 0.457905896266 0.542094103734 2.12591701463 2.12588934674 24.4478342216 24.4479060962 
