# T  uPS  fI  fII  CI_1  CII_1  CI_2  CII_2
140.0 168.911954764 0.511057770658 0.488942229342 4.58283061232 4.58281314592 18.3312665629 18.3313109978 
157.083333333 170.499372467 0.500176950715 0.499823049285 4.57292602988 4.5729033634 18.2916302152 18.2916874102 
174.166666667 171.838983293 0.50147967787 0.49852032213 4.564620677 4.56459050388 18.2583848433 18.2584604611 
191.25 172.945985314 0.503082304933 0.496917695067 4.55779531617 4.55775386169 18.2310475309 18.2311508396 
208.333333333 173.835576603 0.50511506652 0.49488493348 4.5523374819 4.55227866379 18.2091612791 18.2093072033 
225.416666667 174.522955231 0.507717180022 0.492282819978 4.54814120151 4.54805453526 18.1922886661 18.1925029387 
242.5 175.023319268 0.510951592411 0.489048407589 4.54510620205 4.54497426947 18.1800075998 18.180332972 
259.583333333 175.351866788 0.514563239149 0.485436760851 4.54313522589 4.54293488392 18.1719124372 18.1724057103 
276.666666667 175.523795861 0.517506122355 0.482493877645 4.54212310318 4.54184832961 18.1676359623 18.1683119174 
293.75 175.554304559 0.518003037077 0.481996962923 4.5419465075 4.54165237516 18.1668702368 18.1675937053 
310.833333333 175.458590954 0.515812480952 0.484187519048 4.54250434252 4.54226341221 18.1692636774 18.1698565694 
327.916666667 175.251853117 0.512661741454 0.487338258546 4.54373198479 4.54355889907 18.1743827443 18.1748091211 
345.0 174.94928912 0.50974552598 0.49025447402 4.54555359341 4.54543111412 18.1818260492 18.1821282195 
362.083333333 174.566097034 0.507377000382 0.492622999618 4.5478787261 4.54778939682 18.1912301063 18.1914509151 
379.166666667 174.117474932 0.505526364359 0.494473635641 4.5506139187 4.55054618429 18.2022387272 18.2024065341 
396.25 173.618620883 0.504087462442 0.495912537558 4.55366608807 4.5536127485 18.2144928483 18.2146253252 
413.333333333 173.084732961 0.502959280594 0.497040719406 4.5569424044 4.55689893306 18.2276293804 18.2277376393 
430.416666667 172.531009236 0.50206345312 0.49793654688 4.56034975988 4.56031340103 18.2412814091 18.2413722095 
447.5 171.972647781 0.501343392795 0.498656607205 4.56379473645 4.56376347184 18.2550775398 18.2551558398 
464.583333333 171.424846667 0.500759504627 0.499240495373 4.56718300678 4.56715562047 18.2686430007 18.2687117792 
481.666666667 170.902803964 0.500284609593 0.499715390407 4.57041966971 4.57039515985 18.2815988452 18.281660564 
498.75 170.421717746 0.49990044994 0.50009955006 4.57340899142 4.57338662833 18.293562999 18.2936194509 
515.833333333 169.996786084 0.499595247754 0.500404752246 4.57605456255 4.57603388792 18.3041506945 18.3042029981 
532.916666667 169.643207048 0.499362095957 0.500637904043 4.57825966433 4.5782401469 18.3129748081 18.313024274 
550.0 169.376178712 0.499197984792 0.500802015208 4.57992721355 4.57990851715 18.3196476383 18.3196950885 
