# T  uPS  fI  fII  CI_1  CII_1  CI_2  CII_2
140.0 168.911954764 0.47905618673 0.52094381327 3.02486471919 3.02484263025 22.1822272957 22.1822841022 
157.083333333 170.499372467 0.479778369813 0.520221630187 3.01952848486 3.01948553096 22.1429879795 22.1430976292 
174.166666667 171.838983293 0.481247446808 0.518752553192 3.01511904886 3.01492194727 22.1098638214 22.1103638528 
191.25 172.945985314 0.647316174656 0.352683825344 4.43856726822 0.425452061108 18.5230627115 28.8641036843 
208.333333333 173.835576603 0.576068547273 0.423931452727 5.05743086899 0.267886967941 16.9798560196 29.2886607199 
225.416666667 174.522955231 0.538129701675 0.461870298325 5.46670716432 0.190083682101 15.9662759635 29.4997904813 
242.5 175.023319268 0.515865166522 0.484134833478 5.73675725319 0.148581912108 15.3006396613 29.6129563332 
259.583333333 175.351866788 0.50302316725 0.49697683275 5.90339626206 0.126477767628 14.8911800187 29.6734219099 
276.666666667 175.523795861 0.496769720934 0.503230279066 5.98755887393 0.116262674784 14.684757715 29.7014174031 
293.75 175.554304559 0.495690647823 0.504309352177 6.00228632989 0.114538273834 14.6486627023 29.7061468159 
310.833333333 175.458590954 0.4991063532 0.5008936468 5.95587532222 0.120035685758 14.7624365834 29.6910729874 
327.916666667 175.251853117 0.506802590949 0.493197409051 5.85349859729 0.13282993608 15.0136827453 29.656030379 
345.0 174.94928912 0.518937587661 0.481062412339 5.69809392923 0.154081360831 15.3957828908 29.5979348506 
362.083333333 174.566097034 0.536060414233 0.463939585767 5.4908338931 0.186074624842 15.9067037825 29.5107037403 
379.166666667 174.117474932 0.559253982063 0.440746017937 5.23127954855 0.232506665497 16.5486244687 29.3845228698 
396.25 173.618620883 0.590509230671 0.409490769329 4.91716639885 0.299111884267 17.3285172809 29.2042376578 
413.333333333 173.084732961 0.633683087676 0.366316912324 4.54351665056 0.394962968865 18.2604772095 28.9459938869 
430.416666667 172.531009236 0.69663027456 0.30336972544 4.10326902965 0.536684037005 19.3645218972 28.5661508436 
447.5 171.972647781 0.481700903005 0.518299096995 3.01472841074 3.01442279672 22.1064451503 22.1072199906 
464.583333333 171.424846667 0.480624946197 0.519375053803 3.01645109914 3.01635738809 22.1201607598 22.1203989535 
481.666666667 170.902803964 0.479975267491 0.520024732509 3.01818120071 3.01812493456 22.1330396809 22.1331830443 
498.75 170.421717746 0.479869200952 0.520130799048 3.01978838832 3.01974730949 22.1449035987 22.1450084998 
515.833333333 169.996786084 0.479868661844 0.520131338156 3.02121307712 3.02117994367 22.1553920885 22.1554768675 
532.916666667 169.643207048 0.479909097157 0.520090902843 3.02240118512 3.02237268655 22.1641286765 22.1642017166 
550.0 169.376178712 0.47995630766 0.52004369234 3.02329982967 3.0232740814 22.1707328614 22.170798935 
